name,date,start,end,location
senate exec,9/13/17,1300,1630,UN 277
senate,9/27/17,1400,1630,"Jack and Florence Ferman Presentation Room (Room 81, West Wing, Lower Level of Oviatt Library)"
senate exec,10/4/17,1300,1630,UN 277
senate,10/25/17,1400,1630,"Jack and Florence Ferman Presentation Room (Room 81, West Wing, Lower Level of Oviatt Library)"
senate exec,11/15/17,1300,1630,UN 277
senate,12/6/17,1400,1630,"Jack and Florence Ferman Presentation Room (Room 81, West Wing, Lower Level of Oviatt Library)"
retreat,1/15/18,900,1630,TBA
senate exec,2/7/18,1300,1630,UN 277
senate,2/14/18,1400,1630,"Jack and Florence Ferman Presentation Room (Room 81, West Wing, Lower Level of Oviatt Library)"
senate exec,2/28/18,1300,1630,UN 277
senate,3/7/18,1400,1630,"Jack and Florence Ferman Presentation Room (Room 81, West Wing, Lower Level of Oviatt Library)"
senate exec,3/28/18,1300,1630,UN 277
senate,4/11/18,1400,1630,"Jack and Florence Ferman Presentation Room (Room 81, West Wing, Lower Level of Oviatt Library)"
senate exec,5/2/18,1300,1630,UN 277
senate,5/9/18,1400,1630,"Jack and Florence Ferman Presentation Room (Room 81, West Wing, Lower Level of Oviatt Library)"
honored faculty reception,5/20/18,1200,1400,TBA